county,date,customers_out
Coffee,2021-01-12,2
Cumberland,2021-01-12,1
Davidson,2021-01-12,81
DeKalb,2021-01-12,0
Dickson,2021-01-12,0
Fayette,2021-01-12,3
Fentress,2021-01-12,6
Franklin,2021-01-12,2
Gibson,2021-01-12,1
Giles,2021-01-12,14
Grainger,2021-01-12,0
Greene,2021-01-12,4
Hamblen,2021-01-12,1
Hamilton,2021-01-12,1557
Hancock,2021-01-12,1
Hardeman,2021-01-12,0
Hawkins,2021-01-12,5
Haywood,2021-01-12,0
Henry,2021-01-12,1
Hickman,2021-01-12,0
Jefferson,2021-01-12,0
Knox,2021-01-12,4163
Lawrence,2021-01-12,4
Loudon,2021-01-12,1
Marion,2021-01-12,1
Marshall,2021-01-12,1
Maury,2021-01-12,2
McMinn,2021-01-12,1
Meigs,2021-01-12,1
Monroe,2021-01-12,7
Montgomery,2021-01-12,61
Morgan,2021-01-12,0
Pickett,2021-01-12,0
Polk,2021-01-12,5
Rhea,2021-01-12,7
Roane,2021-01-12,4
Robertson,2021-01-12,5
Rutherford,2021-01-12,40
Scott,2021-01-12,0
Sequatchie,2021-01-12,1
Sevier,2021-01-12,56
Shelby,2021-01-12,1464
Smith,2021-01-12,0
Stewart,2021-01-12,1491
Sullivan,2021-01-12,649
Sumner,2021-01-12,4
Tipton,2021-01-12,5
Trousdale,2021-01-12,0
Union,2021-01-12,0
Warren,2021-01-12,0
Washington,2021-01-12,15
Williamson,2021-01-12,44
Wilson,2021-01-12,21
Anderson,2021-01-13,0
Bedford,2021-01-13,5
Blount,2021-01-13,9
Bradley,2021-01-13,1
Campbell,2021-01-13,23
Cannon,2021-01-13,1
Cheatham,2021-01-13,5
Claiborne,2021-01-13,43
Clay,2021-01-13,16
Cocke,2021-01-13,21
Coffee,2021-01-13,5
Cumberland,2021-01-13,1
Davidson,2021-01-13,155
DeKalb,2021-01-13,2
Fayette,2021-01-13,1
Franklin,2021-01-13,4
Gibson,2021-01-13,10
Giles,2021-01-13,1651
Greene,2021-01-13,9
Hamblen,2021-01-13,0
Hancock,2021-01-13,1
Hardeman,2021-01-13,380
Hawkins,2021-01-13,11
Haywood,2021-01-13,380
Henry,2021-01-13,10
Jefferson,2021-01-13,1
Knox,2021-01-13,24
Lawrence,2021-01-13,697
Loudon,2021-01-13,16
Macon,2021-01-13,14
Marion,2021-01-13,7
Marshall,2021-01-13,3
Maury,2021-01-13,1
McMinn,2021-01-13,1
Meigs,2021-01-13,9
Monroe,2021-01-13,293
Montgomery,2021-01-13,73
Morgan,2021-01-13,0
Obion,2021-01-13,41
Pickett,2021-01-13,0
Polk,2021-01-13,1
Putnam,2021-01-13,1
Roane,2021-01-13,0
Robertson,2021-01-13,218
Rutherford,2021-01-13,741
Scott,2021-01-13,0
Sequatchie,2021-01-13,18
Sevier,2021-01-13,40
Shelby,2021-01-13,209
Stewart,2021-01-13,6
Sullivan,2021-01-13,27
Sumner,2021-01-13,14
Tipton,2021-01-13,4
Trousdale,2021-01-13,2
Union,2021-01-13,2
Washington,2021-01-13,12
White,2021-01-13,1
Williamson,2021-01-13,216
Wilson,2021-01-13,32
Anderson,2021-01-14,0
Bedford,2021-01-14,5
Bledsoe,2021-01-14,24
Blount,2021-01-14,33
Bradley,2021-01-14,8
Campbell,2021-01-14,88
Cannon,2021-01-14,1
Cheatham,2021-01-14,6
Claiborne,2021-01-14,14
Clay,2021-01-14,45
Cocke,2021-01-14,8
Coffee,2021-01-14,87
Crockett,2021-01-14,8
Cumberland,2021-01-14,1
Davidson,2021-01-14,937
Fayette,2021-01-14,27
Franklin,2021-01-14,3
Giles,2021-01-14,5
Grainger,2021-01-14,0
Greene,2021-01-14,18
Hamblen,2021-01-14,0
Hamilton,2021-01-14,3
Hancock,2021-01-14,1
Hawkins,2021-01-14,42
Haywood,2021-01-14,2
Henry,2021-01-14,2
Jefferson,2021-01-14,7
Knox,2021-01-14,99
Lawrence,2021-01-14,26
Loudon,2021-01-14,28
Macon,2021-01-14,2
Madison,2021-01-14,4
Marion,2021-01-14,3
Marshall,2021-01-14,2
Maury,2021-01-14,4
McMinn,2021-01-14,3
Monroe,2021-01-14,3
Montgomery,2021-01-14,38
Obion,2021-01-14,2
Rhea,2021-01-14,2
Roane,2021-01-14,0
Robertson,2021-01-14,49
Rutherford,2021-01-14,25
Sequatchie,2021-01-14,47
Sevier,2021-01-14,10
Shelby,2021-01-14,1856
Stewart,2021-01-14,121
Sullivan,2021-01-14,13
Sumner,2021-01-14,3
Trousdale,2021-01-14,1
Unicoi,2021-01-14,1
Union,2021-01-14,0
Van Buren,2021-01-14,1
Washington,2021-01-14,35
Williamson,2021-01-14,59
Wilson,2021-01-14,6
Anderson,2021-01-15,7
Bedford,2021-01-15,146
Blount,2021-01-15,7
Campbell,2021-01-15,28
Cannon,2021-01-15,1
Cheatham,2021-01-15,0
Chester,2021-01-15,1
Claiborne,2021-01-15,21
Cocke,2021-01-15,10
Coffee,2021-01-15,23
Cumberland,2021-01-15,9
Davidson,2021-01-15,111
DeKalb,2021-01-15,1
Fayette,2021-01-15,6
Franklin,2021-01-15,1
Gibson,2021-01-15,1
Giles,2021-01-15,5
Greene,2021-01-15,2
Hamblen,2021-01-15,1
Hamilton,2021-01-15,1
Hancock,2021-01-15,1
Hardeman,2021-01-15,0
Hawkins,2021-01-15,7
Haywood,2021-01-15,0
Henry,2021-01-15,3
Jefferson,2021-01-15,7
Knox,2021-01-15,1664
Lawrence,2021-01-15,3
Loudon,2021-01-15,0
Macon,2021-01-15,8
Marion,2021-01-15,3
Marshall,2021-01-15,4
Maury,2021-01-15,2
McMinn,2021-01-15,15
Monroe,2021-01-15,251
Montgomery,2021-01-15,69
Obion,2021-01-15,2
Overton,2021-01-15,6
Polk,2021-01-15,3
Rhea,2021-01-15,3
Roane,2021-01-15,1
Robertson,2021-01-15,30
Rutherford,2021-01-15,244
Sequatchie,2021-01-15,51
Sevier,2021-01-15,764
Shelby,2021-01-15,1427
Smith,2021-01-15,1
Stewart,2021-01-15,2
Sullivan,2021-01-15,1
Sumner,2021-01-15,46
Tipton,2021-01-15,18
Van Buren,2021-01-15,1
Washington,2021-01-15,67
Williamson,2021-01-15,12
Wilson,2021-01-15,441
Anderson,2021-01-16,4
Bedford,2021-01-16,146
Blount,2021-01-16,1
Bradley,2021-01-16,1
Cheatham,2021-01-16,17
Cocke,2021-01-16,2
Cumberland,2021-01-16,2
Davidson,2021-01-16,37
Dickson,2021-01-16,0
Dyer,2021-01-16,11
Fayette,2021-01-16,15
Fentress,2021-01-16,4
Giles,2021-01-16,1671
Greene,2021-01-16,8
Grundy,2021-01-16,1549
Hamblen,2021-01-16,0
Hancock,2021-01-16,1
Hawkins,2021-01-16,220
Henry,2021-01-16,21
Knox,2021-01-16,28
Lawrence,2021-01-16,59
Loudon,2021-01-16,0
Madison,2021-01-16,1
Marion,2021-01-16,2
Maury,2021-01-16,6
McMinn,2021-01-16,1
Meigs,2021-01-16,14
Monroe,2021-01-16,2
Montgomery,2021-01-16,1
Moore,2021-01-16,3
Morgan,2021-01-16,1
Obion,2021-01-16,4
Pickett,2021-01-16,1
Rhea,2021-01-16,1
Roane,2021-01-16,0
Robertson,2021-01-16,1
Rutherford,2021-01-16,3
Sevier,2021-01-16,5
Shelby,2021-01-16,52
Stewart,2021-01-16,0
Sullivan,2021-01-16,1548
Sumner,2021-01-16,1
Tipton,2021-01-16,3
Union,2021-01-16,3
Washington,2021-01-16,330
Williamson,2021-01-16,13
Wilson,2021-01-16,1
Anderson,2021-01-17,1
Bedford,2021-01-17,1
Blount,2021-01-17,43
Bradley,2021-01-17,38
Cheatham,2021-01-17,57
Cocke,2021-01-17,148
Coffee,2021-01-17,3
Crockett,2021-01-17,6
Cumberland,2021-01-17,19
Davidson,2021-01-17,138
Fayette,2021-01-17,1
Fentress,2021-01-17,6
Gibson,2021-01-17,1
Giles,2021-01-17,1
Greene,2021-01-17,1
Grundy,2021-01-17,1549
Hamblen,2021-01-17,0
Hamilton,2021-01-17,9
Hancock,2021-01-17,1
Hardeman,2021-01-17,0
Hawkins,2021-01-17,0
Haywood,2021-01-17,0
Henry,2021-01-17,10
Knox,2021-01-17,97
Lawrence,2021-01-17,17
Marion,2021-01-17,5
Marshall,2021-01-17,0
Maury,2021-01-17,2
Meigs,2021-01-17,1
Monroe,2021-01-17,50
Montgomery,2021-01-17,29
Morgan,2021-01-17,19
Pickett,2021-01-17,1
Roane,2021-01-17,1
Robertson,2021-01-17,1
Rutherford,2021-01-17,404
Sevier,2021-01-17,27
Shelby,2021-01-17,918
Stewart,2021-01-17,74
Sullivan,2021-01-17,4
Sumner,2021-01-17,1
Tipton,2021-01-17,26
Union,2021-01-17,4
Washington,2021-01-17,10
Williamson,2021-01-17,3
Wilson,2021-01-17,5
Anderson,2021-01-18,1
Bedford,2021-01-18,9
Blount,2021-01-18,19
Bradley,2021-01-18,20
Cannon,2021-01-18,2
Cheatham,2021-01-18,1
Claiborne,2021-01-18,1
Clay,2021-01-18,2
Cocke,2021-01-18,3
Coffee,2021-01-18,4
Cumberland,2021-01-18,341
Davidson,2021-01-18,17
DeKalb,2021-01-18,0
Dickson,2021-01-18,0
Fayette,2021-01-18,0
